scope;problem_id;algorithm;run;evaluations_nmr;fitness_value;feasible;max_violation;feasible_count;run_eval_count;feasible_rate;best_feasible_eval;best_feasible_value;function_name
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;1;Hyperopt_TPE;1;802;65.03035511;TRUE;0;131;1000;13.1%;802;65.03035511;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;Hyperopt_TPE;2;827;72.12859695;TRUE;0;146;1000;14.6%;827;72.12859695;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;Hyperopt_TPE;3;995;66.67129961;TRUE;0;156;1000;15.6%;995;66.67129961;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;LHS;1;30;108.112;TRUE;0;14;1000;1.4%;30;108.112;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;1;LHS;2;796;102.007;FALSE;0.018772627;10;1000;1.0%;66;131.750;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;LHS;3;212;102.892;FALSE;0.027425186;16;1000;1.6%;22;108.078;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;1;NLopt_DIRECT;1;218;125.550;TRUE;0;646;1000;64.6%;218;125.550;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;NLopt_DIRECT;2;218;125.550;TRUE;0;646;1000;64.6%;218;125.550;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;NLopt_DIRECT;3;218;125.550;TRUE;0;646;1000;64.6%;218;125.550;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;1;NLopt_SBPLX;1;165;112.148;FALSE;0.008091341;71;1000;7.1%;108;117.565;solid_slab_one_way_concrete_problem_1
BM2_run_best | BM2+3Mix_run_best;1;NLopt_SBPLX;2;165;112.148;FALSE;0.008091341;71;1000;7.1%;108;117.565;solid_slab_one_way_concrete_problem_1
